stats_type,year,Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts,year_player,won_super_bowl
receiving,2019,Kenyan Drake,50,345,0,2,0,47,15,0.3,0,0,68,2019_Kenyan Drake,0
receiving,2019,Darren Fells,34,341,7,2,0,24,22,0.647,0,0,48,2019_Darren Fells,0
receiving,2019,Willie Snead,31,339,5,4,1,50,20,0.645,0,0,45,2019_Willie Snead,0
receiving,2019,Tajae Sharpe,25,329,4,4,1,47,20,0.8,0,0,35,2019_Tajae Sharpe,0
receiving,2019,Josh Reynolds,21,326,1,8,0,31,15,0.714,0,0,42,2019_Josh Reynolds,0
receiving,2019,Jalen Richard,36,323,0,5,0,33,15,0.417,1,0,43,2019_Jalen Richard,0
receiving,2019,Nick Boyle,31,321,2,4,0,35,13,0.419,0,0,43,2019_Nick Boyle,0
receiving,2019,Nyheim Hines,44,320,0,2,0,21,15,0.341,1,0,58,2019_Nyheim Hines,0
receiving,2019,Ryan Griffin,34,320,5,4,1,45,19,0.559,0,0,41,2019_Ryan Griffin,0
receiving,2019,Dontrelle Inman,20,313,0,7,0,78,16,0.8,0,0,34,2019_Dontrelle Inman,0
receiving,2019,Irv Smith,36,311,2,5,0,29,17,0.472,1,0,47,2019_Irv Smith,0
receiving,2019,Cameron Brate,36,311,4,1,0,37,21,0.583,0,0,55,2019_Cameron Brate,0
receiving,2019,Steven Sims,34,310,4,2,1,65,18,0.529,0,0,56,2019_Steven Sims,0
receiving,2019,Ronald Jones,31,309,0,3,1,41,12,0.387,1,0,40,2019_Ronald Jones,0
receiving,2019,Jaylen Samuels,47,305,1,1,0,27,19,0.404,1,0,57,2019_Jaylen Samuels,0
receiving,2019,David Moore,17,301,2,5,1,60,14,0.824,1,0,34,2019_David Moore,0
receiving,2019,Cody Latimer,24,300,2,4,2,43,19,0.792,0,0,42,2019_Cody Latimer,0
receiving,2019,DaeSean Hamilton,28,297,1,4,0,28,19,0.679,0,0,52,2019_DaeSean Hamilton,0
receiving,2019,Jarius Wright,28,296,0,3,0,33,16,0.571,0,0,58,2019_Jarius Wright,0
receiving,2019,Melvin Gordon,42,296,1,2,0,25,11,0.262,1,0,55,2019_Melvin Gordon,0
receiving,2019,Bisi Johnson,31,294,3,1,0,23,17,0.548,0,0,45,2019_Bisi Johnson,0
receiving,2019,DeAndre Washington,36,292,0,4,0,28,10,0.278,0,0,40,2019_DeAndre Washington,0
receiving,2019,Joe Mixon,35,287,3,4,0,33,14,0.4,0,0,45,2019_Joe Mixon,0
receiving,2019,Geronimo Allison,34,287,2,3,0,31,16,0.471,2,0,55,2019_Geronimo Allison,0
receiving,2019,Dare Ogunbowale,35,286,0,1,0,21,14,0.4,1,0,46,2019_Dare Ogunbowale,0
receiving,2019,Kareem Hunt,37,285,1,2,0,29,17,0.459,0,0,44,2019_Kareem Hunt,0
receiving,2019,Rex Burkhead,27,279,0,4,0,32,10,0.37,1,0,38,2019_Rex Burkhead,0
receiving,2019,Nick Chubb,36,278,0,4,0,32,13,0.361,1,0,49,2019_Nick Chubb,0
receiving,2019,Marcus Johnson,17,277,2,3,2,50,12,0.706,0,0,33,2019_Marcus Johnson,0
receiving,2019,Vance McDonald,38,273,3,2,0,22,12,0.316,1,0,55,2019_Vance McDonald,0
receiving,2019,Seth Roberts,21,271,2,3,0,33,18,0.857,0,0,34,2019_Seth Roberts,0
receiving,2019,Kaden Smith,31,268,3,3,0,32,12,0.387,2,0,42,2019_Kaden Smith,0
receiving,2019,Chris Carson,37,266,2,2,0,21,10,0.27,1,0,47,2019_Chris Carson,0
receiving,2019,Will Dissly,23,262,4,3,0,38,14,0.609,1,0,27,2019_Will Dissly,0
receiving,2019,Marvin Hall,7,261,1,6,3,58,7,1.0,0,0,11,2019_Marvin Hall,0
receiving,2019,Royce Freeman,43,256,1,0,0,19,10,0.233,0,0,50,2019_Royce Freeman,0
receiving,2019,Greg Ward,28,254,1,1,0,38,18,0.643,0,0,40,2019_Greg Ward,0
receiving,2019,Isaiah McKenzie,27,254,1,3,1,46,12,0.444,0,0,39,2019_Isaiah McKenzie,0
receiving,2019,Keke Coutee,22,254,0,4,1,51,10,0.455,1,0,36,2019_Keke Coutee,0
receiving,2019,Jamaal Williams,39,253,5,0,0,17,16,0.41,0,0,45,2019_Jamaal Williams,0
receiving,2019,James Conner,34,251,3,4,0,26,14,0.412,0,0,38,2019_James Conner,0
receiving,2019,Mack Hollins,20,250,0,2,0,40,14,0.7,0,0,43,2019_Mack Hollins,0
receiving,2019,Mark Ingram,26,247,5,3,0,25,16,0.615,0,0,29,2019_Mark Ingram,0
receiving,2019,Malik Turner,15,245,1,6,0,33,10,0.667,0,0,22,2019_Malik Turner,0
receiving,2019,Paul Richardson,28,245,2,1,0,22,13,0.464,0,0,42,2019_Paul Richardson,0
receiving,2019,Isaiah Ford,23,244,0,2,0,28,16,0.696,0,0,35,2019_Isaiah Ford,0
receiving,2019,Pharoh Cooper,25,243,1,4,0,28,10,0.4,0,0,33,2019_Pharoh Cooper,0
receiving,2019,C.J. Uzomah,27,242,2,2,0,36,12,0.444,0,0,40,2019_C.J. Uzomah,0
receiving,2019,Jeremy Sprinkle,26,241,1,2,0,23,13,0.5,1,0,40,2019_Jeremy Sprinkle,0
receiving,2019,Kyle Juszczyk,20,239,1,4,1,49,11,0.55,0,0,24,2019_Kyle Juszczyk,0
receiving,2019,Charles Clay,18,237,1,4,1,47,12,0.667,0,0,24,2019_Charles Clay,0
receiving,2019,Latavius Murray,34,235,1,1,0,30,9,0.265,0,0,43,2019_Latavius Murray,0
receiving,2019,Tre'Quan Smith,18,234,5,3,0,32,17,0.944,0,0,25,2019_Tre'Quan Smith,0
receiving,2019,Taysom Hill,19,234,6,5,1,45,14,0.737,0,0,22,2019_Taysom Hill,0
receiving,2019,Giovani Bernard,30,234,0,2,0,35,7,0.233,2,0,42,2019_Giovani Bernard,0
receiving,2019,J.D. McKissic,34,233,1,3,0,26,7,0.206,0,0,42,2019_J.D. McKissic,0
receiving,2019,Ricky Seals-Jones,14,229,4,5,1,59,10,0.714,1,0,22,2019_Ricky Seals-Jones,0
receiving,2019,Josh Hill,25,226,3,4,0,29,13,0.52,0,0,35,2019_Josh Hill,0
receiving,2019,Vyncint Smith,17,225,0,4,0,37,11,0.647,0,0,31,2019_Vyncint Smith,0
receiving,2019,Trevor Davis,16,222,0,4,0,98,8,0.5,2,0,22,2019_Trevor Davis,0
receiving,2019,Jaron Brown,16,220,2,3,1,48,10,0.625,1,0,26,2019_Jaron Brown,0
receiving,2019,Jake Kumerow,12,219,1,3,1,49,8,0.667,0,0,21,2019_Jake Kumerow,0
receiving,2019,Tim Patrick,16,218,0,3,0,38,14,0.875,0,0,31,2019_Tim Patrick,0
receiving,2019,Zay Jones,27,216,0,2,0,39,10,0.37,0,0,45,2019_Zay Jones,0
receiving,2019,Delanie Walker,21,215,2,1,0,29,11,0.524,1,0,31,2019_Delanie Walker,0
receiving,2019,Damien Williams,30,213,2,1,0,32,10,0.333,0,0,37,2019_Damien Williams,1
receiving,2019,Todd Gurley,31,207,2,3,0,23,8,0.258,0,0,49,2019_Todd Gurley,0
